Code,Desc,Male,Female
61300,Satellite telecoms activities,,
61900,Other telecomtions activities,1378,*
62010,Computer programming activities,42466,5360
62020,Computer consultancy activities,56860,11208
62030,Computer facilities mangmnt actv,610,*
62090,Other IT & computer service actv,3113,*
63110,"Data proc, hosting & related actv",*,*
63120,Web portals,*,*
63910,News agency activities,254,*
63990,Other info service acts n.e.c.,*,
64110,Central banking,*,*
64190,Other monetary intermediation,11289,1826
64200,Activities of holding companies,2126,*
64300,"Trusts, funds & sim financial ents",4024,*
64910,Financial leasing,*,
64920,Other credit granting,3006,4072
64990,"Oth fin ser,exc ins & pen fund,nec",4384,1364
65110,Life insurance,*,
65120,Nonlife insurance,7753,1133
65200,Reinsurance,,
65300,Pension funding,*,
66110,Administration of financial markts,681,727
66120,Sec & commodity contrcts brokerage,9242,1584
66190,"Oth act ax fin ser,ex in & pen fnd",29206,10016
66210,Risk and damage evaluation,*,*
66220,Actv of insurance agents & brokers,6859,*
66290,Othr actv aux to ins & pensn fndng,1841,877
66300,Fund management activities,1543,*
68100,Buying and selling own real estate,793,
68200,Renting & op ownleasd real estate,19337,14898
68310,Real estate agencies,14346,7741
68320,Mgmt real estate on feecont basis,8468,5661
69100,Legal activities,41637,17340
69200,Accntng & auditng actv;tax consult,35429,36850
70100,Activities of head offices,1968,939
70210,PR & communication activities,4144,5476
70220,Bus & other mangmnt constny actv,75996,40075
71110,Architectural activities,14750,8967
71120,Eng actv & related tech consltncy,77724,11776
71200,Technical testing and analysis,5369,904
72110,Res & experimental dev on biotech,1057,*
72190,Othr R&D on natural sciences & eng,4032,2477
72200,R&D on social sci and humanities,1620,892
73110,Advertising agencies,18634,11408
73120,Media representation,4409,3213
73200,Market resch & pub opinion polling,4001,5883
74100,Specialised design activities,55474,34601
74200,Photographic activities,21928,13909
74300,Transltion and interpretation actv,5651,10050
74900,"Otr prof,scntfc & tech actv n.e.c.",13810,5431
75000,Veterinary activities,4934,6492
77110,Rent & lease cars & light motr veh,1176,
77120,Renting and leasing of trucks,527,
77210,Rentng & leasing rec & sport goods,1234,*
77220,Renting of video tapes and disks,,
77290,Rent & lease othr per & hhold good,3288,*
77310,Rentng & leasng agr mchnry & eqmt,*,
77320,Rentleas constr & eng mchn & eqmt,2239,*
77330,Rentlease off mchn & eqmt inc PC,*,
77340,Rentng & leasng watr trnprt eqmt,*,*
77350,Rentng & leasng air transprt eqmt,,*
77390,"Rentleas mchn,eqmt & tang gds nec",2959,827
77400,"Lease intel prop, exc cpyrghtd wrk",*,*
78100,Actv of emplymnt placment agncies,10119,9901
78200,Temp employment agency activities,3866,3829
78300,Other human resources provision,*,
79110,Travel agency activities,3801,2077
79120,Tour operator activities,1256,*
79900,Othr reservtn serv & related actv,4001,3525
80100,Private security activities,6781,876
80200,Security systems service activs,4287,
80300,Investigation activities,2856,*
81100,Combined facils support activities,7932,5930
81210,General cleaning of buildings,10358,70093
81220,Other building & ind cleaning actv,23932,2651
81290,Other cleaning activities,3821,18330
81300,Landscape service activities,77728,18271
82110,Combined office admin service actv,*,2882
82190,"Copyng,doc prep & othr off sup act",2228,4220
82200,Activities of call centres,,622
82300,Convntn and trade show organisers,4702,3239
82910,Actv coll agncies & credit bureaus,920,565
82920,Packaging activities,*,*
82990,Other bus supp service actv n.e.c.,6033,5176
84110,General public admin activities,9247,7419
84120,Reg of actv providing social serv,5902,10079
84130,Reg & contr to mre eff op of busin,2001,1339
84210,Foreign affairs,*,
84220,Defence activities,2020,*
84230,Justice and judicial activities,8454,2716
84240,Public order and safety activities,2356,*
84250,Fire service activities,*,*
84300,Complsry social security activs,,*
85100,Preprimary education,1120,5690
85200,Primary education,4921,15270
85310,General secondary education,9134,10957
85320,Techl & vocational secondary educ,15183,19475
85410,Postsecndry nontertiary educatn,1242,1403
85420,Tertiary education,5484,5087
85510,Sports and recreation education,19136,23556
85520,Cultural education,5916,19782
85530,Driving school activities,24308,7248
85590,Other education n.e.c.,27568,35988
85600,Educational support activities,5001,9912
86100,Hospital activities,8493,10946
86210,General medical practice activs,18799,20606
86220,Specialist medical practice activs,7004,12184
86230,Dental practice activities,15240,14550
86900,Other human health activities,19210,55133
87100,Residential nursing care activs,2110,4797
87200,Res care activs for mental health,2715,5990
87300,Res care actv for the eldly & disb,2732,10202
87900,Other residential care activities,1379,3125
88100,Soc wrk act wo accm fr eld & disb,*,7082
88910,Child daycare activities,2409,70578
88990,Other soc work actv wo accom nec,13024,28239
90010,Performing arts,28235,12119
90020,Supprt activs to performing arts,7068,4388
90030,Artistic creation,38732,35101
90040,Operation of arts facilities,3410,2284
91010,Library and archive activities,1482,1217
91020,Museum activities,1493,2436
91030,Op of hist sites & sim vis atrctns,*,*
91040,Bot & zoolgicl grdns & nat res act,*,*
92000,Gambling and betting activities,3337,1174
93110,Operation of sports facilities,6675,4599
93120,Activities of sport clubs,5753,1984
93130,Fitness facilities,3835,8712
93190,Other sports activities,7303,8719
93210,Act of amusement park & theme park,*,*
93290,Other amusement and rec activities,18456,8443
94110,Act of busness & employrs memb org,1673,*
94120,Activities of prof mem org,14122,8273
94200,Activities of trade unions,*,*
94910,Activs of religious organisations,6640,2403
94920,Activs of political organisations,*,
94990,Activities of other mem org n.e.c.,3108,4640
95110,Repair of comps & peripheral eqmt,5075,*
95120,Repair of communication equipment,1401,*
95210,Repair of consumer electronics,1346,
95220,Rep hhold apps & home & grden eqmt,14807,313
95230,Repair of footwr and leather goods,1258,
95240,Rep of furnitre & home furnishngs,6275,2239
95250,"Rep of watches, clocks & jewellery",*,
95290,Rep of other personl & hhold goods,2097,3154
96010,Wash & (dry)cleang text & fur prod,5441,3826
96020,Hairdressng & othr beauty treatmnt,18818,123515
96030,Funeral and related activities,2488,2174
96040,Physical wellbeing activities,3279,8909
96090,Other personal service actv n.e.c.,12734,25423
97000,Act hhold as emplyers of dom pers,12857,17704
98100,Undif goodprod act of priv hholds,,932
98200,Undif servprod act of priv hholds,,2587
99000,Act extraterritorial org & bodies,1180,*
